171,22,15,0,37,611,6,"2,736",,,,,,,,
18,50,44,8,102,"1,111",9,"5,395",,,,,,,,
181,14,4,2,20,363,6,"1,677",,,,,,,,
19,38,6,0,44,364,12,"1,902",,,,,,,,
191,4,0,0,4,164,2,698,,,,,,,,
20,9,0,0,9,39,23,151,,,,,,,,
21,50,31,16,97,632,15,"3,270",,,,,,,,
22,99,25,4,128,675,19,"3,292",,,,,,,,
23,78,64,0,142,"1,138",12,"5,470",,,,,,,,
24,61,76,11,148,"1,179",13,"5,965",,,,,,,,
25,21,6,0,27,361,7,"1,746",,,,,,,,
26,29,7,3,39,350,11,"1,685",,,,,,,,
27,22,40,0,62,452,14,"2,214",,,,,,,,
28,59,25,0,84,944,9,"4,546",,,,,,,,
29,0,0,2,2,26,8,143,,,,,,,,
30,18,15,9,42,229,18,989,,,,,,,,
31,22,38,0,60,320,19,"1,399",,,,,,,,
32,22,9,6,37,254,15,"1,194",,,,,,,,
33,48,60,0,108,956,11,"4,861",,,,,,,,
34,22,3,0,25,399,6,"2,004",,,,,,,,
35,4,0,0,4,262,2,"1,064",,,,,,,,
36,59,6,0,65,534,12,"2,471",,,,,,,,
361,3,2,0,5,73,7,321,,,,,,,,
37,16,5,0,21,441,5,"1,770",,,,,,,,
371,11,3,0,14,207,7,928,,,,,,,,
38,11,2,0,13,325,4,"1,193",,,,,,,,
39,4,0,0,4,103,4,562,,,,,,,,
391,3,0,0,3,7,43,22,,,,,,,,
40,23,16,5,44,66,67,285,,,,,,,,
41,35,34,0,69,430,16,"2,221",,,,,,,,
411,22,6,0,28,204,14,936,,,,,,,,
,,,,,,,18,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for Second Rifle Seasons",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
42,92,95,4,191,"1,254",15,"6,362",,,,,,,,
421,97,72,10,179,"1,243",14,"6,456",,,,,,,,
43,68,50,12,130,759,17,"3,725",,,,,,,,
44,0,1,0,1,320,0,"1,382",,,,,,,,
444,21,4,0,25,381,7,"1,984",,,,,,,,
45,46,1,0,47,337,14,"1,473",,,,,,,,
46,6,0,0,6,61,10,291,,,,,,,,
461,3,0,0,3,13,23,62,,,,,,,,
47,7,1,2,10,206,5,"1,167",,,,,,,,
471,18,10,0,28,105,27,450,,,,,,,,
48,13,23,2,38,131,29,681,,,,,,,,
481,29,13,0,42,212,20,"1,015",,,,,,,,
49,38,49,2,89,219,41,"1,061",,,,,,,,
50,8,9,0,17,185,9,918,,,,,,,,
500,20,14,1,35,299,12,"1,584",,,,,,,,
501,19,8,0,27,153,18,754,,,,,,,,
51,6,5,0,11,79,14,412,,,,,,,,
511,33,7,0,40,495,8,"2,391",,,,,,,,
52,26,21,3,50,559,9,"2,696",,,,,,,,
521,94,61,6,161,"1,326",12,"6,764",,,,,,,,
53,75,25,0,100,444,23,"2,423",,,,,,,,
54,65,7,0,72,497,14,"2,937",,,,,,,,
55,116,45,0,161,"1,322",12,"6,772",,,,,,,,
551,59,18,0,77,685,11,"3,596",,,,,,,,
56,11,3,0,14,91,15,447,,,,,,,,
561,2,3,0,5,47,11,263,,,,,,,,
57,12,8,0,20,73,27,344,,,,,,,,
58,16,0,4,20,96,21,413,,,,,,,,
581,19,3,0,22,403,5,"1,845",,,,,,,,
59,23,0,0,23,96,24,370,,,,,,,,
591,8,0,0,8,81,10,291,,,,,,,,
60,21,2,0,23,67,34,292,,,,,,,,
61,44,95,3,142,261,54,"1,285",,,,,,,,
62,142,64,6,212,"1,611",13,"8,707",,,,,,,,
63,40,2,4,46,326,14,"1,729",,,,,,,,
64,14,11,0,25,252,10,"1,261",,,,,,,,
65,69,26,3,98,654,15,"3,267",,,,,,,,
66,45,23,2,70,377,19,"2,002",,,,,,,,
67,21,3,0,24,370,6,"2,159",,,,,,,,
68,18,17,2,37,579,6,"3,033",,,,,,,,
681,14,9,0,23,397,6,"1,956",,,,,,,,
69,6,6,0,12,127,9,543,,,,,,,,
691,0,0,0,0,39,0,150,,,,,,,,
70,118,107,26,251,"1,135",22,"6,067",,,,,,,,
71,116,33,0,149,850,18,"4,300",,,,,,,,
711,50,11,2,63,441,14,"2,255",,,,,,,,
72,11,0,0,11,147,7,643,,,,,,,,
73,18,4,0,22,212,10,963,,,,,,,,
74,58,22,0,80,555,14,"2,771",,,,,,,,
741,9,0,2,11,84,13,403,,,,,,,,
75,26,9,0,35,371,9,"1,617",,,,,,,,
751,18,0,2,20,203,10,"1,007",,,,,,,,
76,25,56,0,81,251,32,"1,300",,,,,,,,
77,91,12,3,106,796,13,"4,248",,,,,,,,
771,7,7,0,14,143,10,764,,,,,,,,
78,87,8,4,99,713,14,"3,856",,,,,,,,
,,,,,,,19,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for Second Rifle Seasons",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
79,8,6,0,14,180,8,"1,021",,,,,,,,
80,84,0,0,84,879,10,"4,708",,,,,,,,
81,92,0,0,92,927,10,"4,331",,,,,,,,
82,66,18,0,84,505,17,"2,276",,,,,,,,
83,37,18,3,58,313,19,"1,567",,,,,,,,
84,15,12,0,27,141,19,622,,,,,,,,
85,72,2,1,75,585,13,"2,955",,,,,,,,
851,20,0,0,20,105,19,505,,,,,,,,
86,51,22,0,73,528,14,"2,527",,,,,,,,
861,25,5,0,30,129,23,528,,,,,,,,
104,2,0,0,2,8,25,34,,,,,,,,
133,3,0,0,3,14,21,70,,,,,,,,
134,0,0,0,0,3,0,21,,,,,,,,
140,7,0,0,7,47,15,154,,,,,,,,
141,10,0,0,10,25,40,112,,,,,,,,
142,4,0,0,4,11,36,81,,,,,,,,
Total,"4,741","2,407",253,"7,401","53,690",14,"263,231",,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for Third Rifle Seasons",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
1,0,0,0,0,12,0,59,,,,,,,,
2,0,26,0,26,31,84,112,,,,,,,,
201,0,9,2,11,27,41,118,,,,,,,,
3,27,55,5,87,"1,197",7,"5,328",,,,,,,,
301,37,18,0,55,684,8,"3,102",,,,,,,,
4,130,58,0,188,"1,005",19,"5,038",,,,,,,,
441,40,13,0,53,306,17,"1,383",,,,,,,,
5,26,6,0,32,244,13,"1,117",,,,,,,,
6,28,5,0,33,582,6,"2,705",,,,,,,,
7,26,9,0,35,287,12,"1,485",,,,,,,,
8,0,5,5,10,257,4,"1,249",,,,,,,,
9,3,0,0,3,12,25,24,,,,,,,,
10,0,10,0,10,67,15,353,,,,,,,,
11,83,70,0,153,"1,075",14,"5,714",,,,,,,,
211,80,12,0,92,792,12,"3,841",,,,,,,,
12,55,120,8,183,"1,169",16,"5,827",,,,,,,,
13,89,46,4,139,479,29,"2,299",,,,,,,,
131,0,20,0,20,193,10,968,,,,,,,,
231,17,15,7,39,206,19,"1,122",,,,,,,,
14,20,8,0,28,333,8,"1,380",,,,,,,,
214,14,13,4,31,204,15,898,,,,,,,,
15,31,16,13,60,945,6,"4,936",,,,,,,,
16,35,9,0,44,336,13,"1,587",,,,,,,,
161,15,0,0,15,172,9,784,,,,,,,,
17,15,30,0,45,503,9,"2,293",,,,,,,,
171,24,0,2,26,370,7,"1,480",,,,,,,,
18,54,32,24,110,"1,235",9,"5,934",,,,,,,,
181,11,2,0,13,340,4,"1,600",,,,,,,,
19,23,0,0,23,196,12,873,,,,,,,,
191,17,0,0,17,171,10,775,,,,,,,,
20,11,1,0,12,37,32,205,,,,,,,,
21,15,78,11,104,526,20,"2,675",,,,,,,,
,,,,,,,20,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for Third Rifle Seasons",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
22,64,46,8,118,648,18,"3,564",,,,,,,,
23,87,28,10,125,"1,015",12,"4,841",,,,,,,,
24,31,0,0,31,451,7,"1,966",,,,,,,,
25,14,2,0,16,233,7,"1,210",,,,,,,,
26,24,2,0,26,244,11,"1,187",,,,,,,,
27,8,0,0,8,299,3,"1,314",,,,,,,,
28,31,25,2,58,866,7,"4,263",,,,,,,,
29,0,17,2,19,28,68,142,,,,,,,,
30,7,8,0,15,312,5,"1,501",,,,,,,,
31,33,17,5,55,379,15,"1,726",,,,,,,,
32,4,7,0,11,195,6,836,,,,,,,,
33,26,8,8,42,541,8,"2,767",,,,,,,,
34,8,3,0,11,184,6,882,,,,,,,,
35,43,14,5,62,330,19,"1,574",,,,,,,,
36,28,1,0,29,310,9,"1,506",,,,,,,,
361,8,0,0,8,133,6,536,,,,,,,,
37,28,2,8,38,442,9,"1,878",,,,,,,,
371,15,0,0,15,173,9,779,,,,,,,,
38,25,2,0,27,153,18,695,,,,,,,,
39,15,0,0,15,74,20,393,,,,,,,,
391,5,0,0,5,16,31,60,,,,,,,,
40,18,8,0,26,60,43,349,,,,,,,,
41,17,22,0,39,402,10,"1,952",,,,,,,,
411,20,6,6,32,198,16,826,,,,,,,,
42,56,84,25,165,"1,024",16,"5,183",,,,,,,,
421,48,9,3,60,592,10,"2,721",,,,,,,,
43,35,32,0,67,588,11,"2,953",,,,,,,,
44,13,5,0,18,284,6,"1,118",,,,,,,,
444,24,4,0,28,282,10,"1,404",,,,,,,,
45,17,3,0,20,257,8,"1,121",,,,,,,,
46,7,2,0,9,36,25,184,,,,,,,,
461,0,0,0,0,13,0,62,,,,,,,,
47,8,6,0,14,156,9,724,,,,,,,,
471,4,2,0,6,35,17,90,,,,,,,,
48,3,8,0,11,46,24,219,,,,,,,,
481,8,0,0,8,109,7,619,,,,,,,,
49,10,45,9,64,183,35,911,,,,,,,,
50,16,16,0,32,248,13,"1,206",,,,,,,,
500,6,34,4,44,118,37,578,,,,,,,,
501,10,7,0,17,92,18,502,,,,,,,,
51,5,2,0,7,56,13,274,,,,,,,,
511,17,3,0,20,417,5,"1,916",,,,,,,,
52,7,12,4,23,387,6,"1,970",,,,,,,,
521,22,46,15,83,601,14,"3,029",,,,,,,,
53,15,29,0,44,316,14,"1,525",,,,,,,,
54,54,9,0,63,623,10,"3,242",,,,,,,,
55,36,20,6,62,"1,138",5,"5,610",,,,,,,,
551,20,30,6,56,591,9,"3,096",,,,,,,,
56,14,8,0,22,97,23,576,,,,,,,,
561,5,0,0,5,52,10,257,,,,,,,,
57,10,20,0,30,100,30,440,,,,,,,,
58,15,6,0,21,89,24,416,,,,,,,,
581,24,0,0,24,380,6,"1,788",,,,,,,,
59,12,0,0,12,127,9,459,,,,,,,,
591,17,0,0,17,91,19,356,,,,,,,,
60,4,0,0,4,97,4,505,,,,,,,,
,,,,,,,21,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for Third Rifle Seasons",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
61,27,83,2,112,237,47,"1,202",,,,,,,,
62,62,62,0,124,"1,013",12,"5,109",,,,,,,,
63,21,10,5,36,200,18,"1,094",,,,,,,,
64,12,20,0,32,233,14,"1,118",,,,,,,,
65,43,23,13,79,521,15,"2,403",,,,,,,,
66,26,24,0,50,323,15,"1,762",,,,,,,,
67,7,46,11,64,332,19,"1,883",,,,,,,,
68,24,11,0,35,579,6,"3,170",,,,,,,,
681,15,2,0,17,348,5,"1,851",,,,,,,,
69,5,2,0,7,94,7,486,,,,,,,,
691,0,0,0,0,25,0,160,,,,,,,,
70,64,80,8,152,"1,127",13,"6,065",,,,,,,,
71,41,11,3,55,636,9,"2,970",,,,,,,,
711,27,23,0,50,928,5,"4,875",,,,,,,,
72,13,0,0,13,154,8,737,,,,,,,,
73,0,3,0,3,222,1,"1,133",,,,,,,,
74,27,5,0,32,314,10,"1,509",,,,,,,,
741,17,0,0,17,101,17,523,,,,,,,,
75,88,34,3,125,474,26,"2,080",,,,,,,,
751,35,29,0,64,330,19,"1,548",,,,,,,,
76,12,30,6,48,188,26,975,,,,,,,,
77,103,8,2,113,886,13,"4,599",,,,,,,,
771,35,0,0,35,278,13,"1,339",,,,,,,,
78,79,6,0,85,727,12,"3,553",,,,,,,,
79,12,0,0,12,146,8,794,,,,,,,,
80,47,0,0,47,533,9,"2,465",,,,,,,,
81,35,0,0,35,593,6,"2,745",,,,,,,,
82,32,32,5,69,492,14,"2,374",,,,,,,,
83,43,26,7,76,544,14,"2,982",,,,,,,,
84,8,2,0,10,49,20,233,,,,,,,,
85,103,0,0,103,497,21,"2,322",,,,,,,,
851,22,9,0,31,110,28,491,,,,,,,,
86,19,0,0,19,377,5,"1,678",,,,,,,,
861,4,0,0,4,76,5,365,,,,,,,,
104,0,0,0,0,6,0,18,,,,,,,,
134,0,0,0,0,4,0,17,,,,,,,,
140,18,0,0,18,61,30,212,,,,,,,,
141,0,0,0,0,4,0,18,,,,,,,,
142,0,0,0,0,29,0,106,,,,,,,,
Total,"3,153","1,927",276,"5,356","44,695",12,"218,029",,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for Fourth Rifle Seasons",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
1,0,5,0,5,18,28,48,,,,,,,,
2,0,11,2,13,20,65,82,,,,,,,,
201,0,9,0,9,31,29,113,,,,,,,,
3,25,31,4,60,858,7,"3,285",,,,,,,,
301,23,9,4,36,364,10,"1,154",,,,,,,,
4,23,42,0,65,502,13,"1,774",,,,,,,,
441,9,0,0,9,140,6,492,,,,,,,,
5,1,4,0,5,74,7,251,,,,,,,,
6,3,19,3,25,169,15,673,,,,,,,,
,,,,,,,22,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for Fourth Rifle Seasons",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
7,1,3,0,4,88,5,334,,,,,,,,
8,9,0,0,9,88,10,260,,,,,,,,
9,6,0,0,6,9,67,28,,,,,,,,
10,0,22,0,22,79,28,318,,,,,,,,
11,44,98,8,150,979,15,"3,672",,,,,,,,
211,22,28,16,66,432,15,"1,496",,,,,,,,
12,25,54,20,99,496,20,"1,908",,,,,,,,
13,0,21,0,21,222,9,977,,,,,,,,
131,2,15,5,22,79,28,274,,,,,,,,
231,3,2,0,5,45,11,178,,,,,,,,
14,8,4,0,12,107,11,404,,,,,,,,
214,5,3,0,8,43,19,149,,,,,,,,
15,10,32,0,42,240,18,890,,,,,,,,
16,2,7,0,9,133,7,489,,,,,,,,
161,3,5,3,11,47,23,201,,,,,,,,
17,0,5,0,5,153,3,578,,,,,,,,
171,3,0,3,6,157,4,567,,,,,,,,
18,9,56,24,89,991,9,"3,662",,,,,,,,
181,0,1,0,1,235,0,848,,,,,,,,
19,3,0,0,3,65,5,232,,,,,,,,
191,3,0,0,3,81,4,311,,,,,,,,
20,11,2,0,13,28,46,91,,,,,,,,
21,18,24,5,47,178,26,609,,,,,,,,
22,32,16,0,48,181,27,752,,,,,,,,
23,13,113,0,126,429,29,"1,545",,,,,,,,
24,7,12,0,19,166,11,642,,,,,,,,
25,2,5,0,7,47,15,200,,,,,,,,
26,8,0,0,8,75,11,275,,,,,,,,
27,0,3,0,3,117,3,388,,,,,,,,
28,11,41,7,59,460,13,"1,618",,,,,,,,
29,2,2,0,4,17,24,65,,,,,,,,
30,14,6,0,20,189,11,692,,,,,,,,
31,0,20,4,24,199,12,628,,,,,,,,
32,0,14,0,14,60,23,187,,,,,,,,
33,18,18,3,39,187,21,685,,,,,,,,
34,2,0,0,2,30,7,117,,,,,,,,
35,3,2,2,7,37,19,120,,,,,,,,
36,1,0,0,1,26,4,100,,,,,,,,
361,1,4,0,5,11,45,45,,,,,,,,
37,7,37,0,44,246,18,750,,,,,,,,
371,4,19,0,23,203,11,644,,,,,,,,
38,4,0,0,4,39,10,127,,,,,,,,
39,2,0,0,2,22,9,85,,,,,,,,
391,0,0,0,0,6,0,26,,,,,,,,
40,13,10,1,24,56,43,178,,,,,,,,
41,2,19,0,21,176,12,530,,,,,,,,
411,0,11,0,11,43,26,103,,,,,,,,
42,21,26,15,62,354,18,"1,267",,,,,,,,
421,16,13,0,29,185,16,585,,,,,,,,
43,7,23,4,34,130,26,427,,,,,,,,
44,2,6,0,8,88,9,314,,,,,,,,
444,2,10,0,12,67,18,244,,,,,,,,
45,3,0,0,3,62,5,244,,,,,,,,
46,0,0,0,0,10,0,36,,,,,,,,
461,0,0,0,0,4,0,11,,,,,,,,
47,3,0,0,3,23,13,82,,,,,,,,
,,,,,,,23,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for Fourth Rifle Seasons",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
471,0,0,3,3,23,13,70,,,,,,,,
48,0,4,0,4,39,10,146,,,,,,,,
481,0,0,0,0,28,0,120,,,,,,,,
49,2,20,3,25,135,19,531,,,,,,,,
50,5,15,0,20,104,19,374,,,,,,,,
500,0,2,0,2,24,8,108,,,,,,,,
501,3,4,0,7,44,16,146,,,,,,,,
51,5,0,0,5,24,21,64,,,,,,,,
511,4,4,0,8,86,9,294,,,,,,,,
52,17,2,0,19,72,26,210,,,,,,,,
521,0,20,3,23,237,10,912,,,,,,,,
53,4,7,4,15,105,14,379,,,,,,,,
54,34,7,2,43,196,22,787,,,,,,,,
55,0,25,6,31,151,21,565,,,,,,,,
551,1,21,0,22,64,34,286,,,,,,,,
56,12,11,0,23,47,49,148,,,,,,,,
561,0,2,0,2,28,7,116,,,,,,,,
57,23,10,4,37,81,46,257,,,,,,,,
58,11,24,0,35,91,38,300,,,,,,,,
581,0,0,0,0,100,0,346,,,,,,,,
59,1,2,0,3,62,5,201,,,,,,,,
60,12,8,0,20,48,42,198,,,,,,,,
61,11,98,6,115,225,51,756,,,,,,,,
62,13,61,2,76,185,41,662,,,,,,,,
63,5,15,0,20,71,28,251,,,,,,,,
64,0,3,0,3,61,5,215,,,,,,,,
65,10,34,4,48,165,29,550,,,,,,,,
66,14,27,3,44,154,29,622,,,,,,,,
67,9,27,7,43,243,18,"1,049",,,,,,,,
68,8,0,0,8,196,4,801,,,,,,,,
681,0,0,0,0,89,0,330,,,,,,,,
69,9,0,0,9,20,45,56,,,,,,,,
70,5,75,7,87,354,25,"1,450",,,,,,,,
71,1,16,3,20,57,35,200,,,,,,,,
711,12,32,0,44,209,21,881,,,,,,,,
72,0,2,3,5,31,16,92,,,,,,,,
73,3,3,0,6,41,15,129,,,,,,,,
74,4,4,0,8,69,12,250,,,,,,,,
741,0,3,0,3,28,11,112,,,,,,,,
75,6,14,0,20,105,19,414,,,,,,,,
751,3,0,0,3,69,4,279,,,,,,,,
76,0,12,0,12,168,7,679,,,,,,,,
77,12,6,0,18,92,20,325,,,,,,,,
771,0,0,0,0,18,0,35,,,,,,,,
78,16,14,0,30,68,44,203,,,,,,,,
79,0,2,0,2,57,4,218,,,,,,,,
80,0,30,0,30,225,13,913,,,,,,,,
81,4,43,16,63,212,30,865,,,,,,,,
82,11,11,3,25,98,26,339,,,,,,,,
83,12,10,0,22,82,27,292,,,,,,,,
84,20,6,6,32,71,45,209,,,,,,,,
85,20,30,0,50,144,35,531,,,,,,,,
851,5,3,0,8,25,32,97,,,,,,,,
86,0,22,0,22,100,22,318,,,,,,,,
861,0,3,0,3,20,15,56,,,,,,,,
104,0,0,0,0,8,0,20,,,,,,,,
,,,,,,,24,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Recreation Days for Fourth Rifle Seasons",,,,,,,,,,,,,,,
,,,,Total,Total,Percent,Total,,,,,,,,
Unit,Bulls,Cows,Calves,Harvest,Hunters,Success,Rec. Days,,,,,,,,
133,0,0,0,0,6,0,25,,,,,,,,
134,0,0,0,0,2,0,6,,,,,,,,
140,0,0,0,0,13,0,57,,,,,,,,
141,1,0,0,1,3,33,14,,,,,,,,
142,4,0,0,4,15,27,60,,,,,,,,
Total,823,"1,736",218,"2,777","16,684",17,"60,979",,,,,,,,
"2016 Elk Harvest, Hunters and Percent Success for All Rifle Seasons",,,,,,,,,,,,,,,
,Antlered,Antlered,Antlered,Antlerless,,Antlerless,Antlerless,,,,,,,,
Unit,Harvest,Hunters,% Success,Harvest,,Hunters,% Success,,,,,,,,
1,0,0,0,,17,72,24,,,,,,,,
2,0,0,0,,83,130,64,,,,,,,,
201,0,0,0,,63,152,41,,,,,,,,
3,175,"1,475",12,350,,"1,689",21,,,,,,,,
301,106,880,12,149,,771,19,,,,,,,,
4,491,"2,527",19,425,,"1,447",29,,,,,,,,
441,176,877,20,114,,392,29,,,,,,,,
5,229,947,24,,85,336,25,,,,,,,,
6,85,849,10,164,,"1,354",12,,,,,,,,
7,124,829,15,,47,288,16,,,,,,,,
8,73,800,9,,47,287,16,,,,,,,,
9,22,52,42,,19,84,23,,,,,,,,
10,0,0,0,247,,508,49,,,,,,,,
11,402,"1,991",20,468,,"2,073",23,,,,,,,,
211,233,"1,138",20,163,,946,17,,,,,,,,
12,535,"2,332",23,527,,"2,347",22,,,,,,,,
13,209,824,25,307,,878,35,,,,,,,,
131,20,284,7,123,,451,27,,,,,,,,
231,74,646,11,,93,483,19,,,,,,,,
14,120,988,12,,82,369,22,,,,,,,,
214,93,520,18,186,,566,33,,,,,,,,
15,96,"1,211",8,145,,"1,336",11,,,,,,,,
16,75,451,17,104,,619,17,,,,,,,,
161,44,298,15,,55,415,13,,,,,,,,
17,50,463,11,134,,883,15,,,,,,,,
171,46,536,9,,64,751,9,,,,,,,,
18,104,"1,361",8,286,,"1,913",15,,,,,,,,
181,25,401,6,,31,569,5,,,,,,,,
19,82,569,14,,37,308,12,,,,,,,,
191,33,318,10,,20,267,7,,,,,,,,
20,103,183,56,205,,585,35,,,,,,,,
21,145,"1,083",13,175,,569,31,,,,,,,,
22,233,"1,276",18,273,,796,34,,,,,,,,
23,323,"2,041",16,351,,"1,523",23,,,,,,,,
24,189,"1,580",12,206,,"1,190",17,,,,,,,,
25,83,697,12,,77,290,27,,,,,,,,
26,88,705,12,105,,317,33,,,,,,,,
27,30,369,8,,78,637,12,,,,,,,,
28,90,"1,180",8,149,,"1,215",12,,,,,,,,
29,4,26,15,,52,138,38,,,,,,,,
30,39,461,8,,62,381,16,,,,,,,,
31,119,626,19,215,,771,28,,,,,,,,
32,52,380,14,,80,249,32,,,,,,,,
,,,,,,,25,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Percent Success for All Rifle Seasons",,,,,,,,,,,,,,,
,Antlered,Antlered,Antlered,Antlerless,Antlerless,Antlerless,,,,,,,,,
Unit,Harvest,Hunters,% Success,Harvest,Hunters,% Success,,,,,,,,,
33,127,"1,174",11,119,"1,067",11,,,,,,,,,
34,50,551,9,46,296,16,,,,,,,,,
35,47,443,11,68,383,18,,,,,,,,,
36,87,617,14,26,355,7,,,,,,,,,
361,11,151,7,23,134,17,,,,,,,,,
37,44,660,7,87,546,16,,,,,,,,,
371,26,216,12,47,447,11,,,,,,,,,
38,50,497,10,45,279,16,,,,,,,,,
39,37,153,24,59,234,25,,,,,,,,,
391,9,41,22,63,151,42,,,,,,,,,
40,0,0,0,167,359,47,,,,,,,,,
41,80,743,11,181,859,21,,,,,,,,,
411,69,320,22,88,318,28,,,,,,,,,
42,159,"1,406",11,292,"1,507",19,,,,,,,,,
421,223,"1,257",18,283,"1,502",19,,,,,,,,,
43,103,866,12,171,693,25,,,,,,,,,
44,13,553,2,42,169,25,,,,,,,,,
444,45,472,10,55,350,16,,,,,,,,,
45,63,514,12,29,168,17,,,,,,,,,
46,19,75,25,9,104,9,,,,,,,,,
461,3,35,9,7,31,23,,,,,,,,,
47,15,263,6,42,178,24,,,,,,,,,
471,22,91,24,15,57,26,,,,,,,,,
48,34,151,23,37,137,27,,,,,,,,,
481,66,251,26,54,246,22,,,,,,,,,
49,92,202,46,133,420,32,,,,,,,,,
50,35,226,15,79,450,18,,,,,,,,,
500,59,216,27,70,383,18,,,,,,,,,
501,41,148,28,34,217,16,,,,,,,,,
51,28,109,26,25,211,12,,,,,,,,,
511,69,984,7,58,218,27,,,,,,,,,
512,1,0,0,4,5,80,,,,,,,,,
52,47,581,8,124,670,19,,,,,,,,,
521,212,"1,142",19,226,"1,526",15,,,,,,,,,
53,134,698,19,172,557,31,,,,,,,,,
54,192,"1,381",14,49,373,13,,,,,,,,,
55,193,"2,108",9,161,"1,030",16,,,,,,,,,
551,96,883,11,93,612,15,,,,,,,,,
56,43,161,27,49,168,29,,,,,,,,,
561,12,85,14,5,69,7,,,,,,,,,
57,63,164,38,69,256,27,,,,,,,,,
58,58,158,37,101,364,28,,,,,,,,,
581,46,843,5,45,191,24,,,,,,,,,
59,38,285,13,12,143,8,,,,,,,,,
591,25,172,15,8,21,38,,,,,,,,,
60,40,185,22,29,77,38,,,,,,,,,
61,177,287,62,422,762,55,,,,,,,,,
62,283,"2,478",11,235,595,39,,,,,,,,,
63,73,412,18,108,437,25,,,,,,,,,
64,26,266,10,62,289,21,,,,,,,,,
65,112,814,14,302,917,33,,,,,,,,,
66,162,686,24,100,556,18,,,,,,,,,
67,81,730,11,118,581,20,,,,,,,,,
68,92,"1,180",8,48,530,9,,,,,,,,,
681,41,637,6,22,344,6,,,,,,,,,
682,47,67,70,29,40,73,,,,,,,,,
,,,,,,26,,,,,,,,,
,,,,,,,,,,,,,,,
"2016 Elk Harvest, Hunters and Percent Success for All Rifle Seasons",,,,,,,,,,,,,,,
,Antlered,Antlered,Antlered,Antlerless,Antlerless,Antlerless,,,,,,,,,
Unit,Harvest,Hunters,% Success,Harvest,Hunters,% Success,,,,,,,,,
69,32,100,32,69,287,24,,,,,,,,,
691,0,46,0,21,60,35,,,,,,,,,
70,182,"1,427",13,399,"1,300",31,,,,,,,,,
71,157,"1,300",12,51,190,27,,,,,,,,,
711,77,"1,206",6,83,331,25,,,,,,,,,
72,24,272,9,17,86,20,,,,,,,,,
73,18,393,5,19,84,23,,,,,,,,,
74,89,810,11,56,167,34,,,,,,,,,
741,18,136,13,73,257,28,,,,,,,,,
75,120,687,17,103,381,27,,,,,,,,,
751,56,435,13,81,253,32,,,,,,,,,
76,131,268,49,104,525,20,,,,,,,,,
77,205,"1,610",13,33,160,21,,,,,,,,,
771,42,413,10,7,31,23,,,,,,,,,
78,180,"1,415",13,35,91,38,,,,,,,,,
79,27,292,9,40,307,13,,,,,,,,,
791,27,58,47,29,40,73,,,,,,,,,
80,161,"1,855",9,89,285,31,,,,,,,,,
81,188,"1,897",10,82,267,31,,,,,,,,,
82,112,647,17,137,527,26,,,,,,,,,
83,80,739,11,122,215,57,,,,,,,,,
84,57,138,41,144,426,34,,,,,,,,,
85,175,"1,012",17,311,799,39,,,,,,,,,
851,47,206,23,44,99,44,,,,,,,,,
86,70,616,11,188,719,26,,,,,,,,,
861,29,167,17,13,76,17,,,,,,,,,
104,8,40,20,29,84,35,,,,,,,,,
105,0,0,0,0,8,0,,,,,,,,,
